,ATPase,Complex_I,Complex_III,Complex_IV,Complex_II,ANT1,ANT2,TIM22_complex,TIM23_complex,MIC60_complex,VDAC1,TOM_complex,SAM_complex
ATPase,0.9446428571428571,0,0,0,0.3515873015873016,1.0,0,0,0,0,0,0,0
Complex_I,0,0.969047619047619,0.780952380952381,0.6761904761904762,0.9142857142857143,0,0.7642857142857142,0,0,0,0,0,0
Complex_III,0,0.780952380952381,0.9976190476190476,0.9916666666666667,0,0.011904761904761904,0,0,0,0,0,0,0
Complex_IV,0,0.6761904761904762,0.9916666666666667,0,0,0.002380952380952381,0,0,0,0,0,0,0
Complex_II,0.5273809523809524,0.9142857142857143,0,0,0,0.530952380952381,1.0,0,0,0,0,0,0
ANT1,0.5,0,0.011904761904761904,0.002380952380952381,0.530952380952381,0,0,0,0.008333333333333333,0,0,0,0
ANT2,0.0,0.5166666666666666,0,0,0.5011904761904762,0,0,0,0,0,0,0,0
TIM22_complex,0,0,0,0,0,0,0,0,0.19285714285714287,0,0,0.002380952380952381,0
TIM23_complex,0,0,0,0,0,0.008333333333333333,0,0.09642857142857142,0,0,0,0,0
MIC60_complex,0,0,0,0,0,0,0,0,0,0,0.5547619047619048,0.8214285714285714,0.004761904761904762
VDAC1,0.0,0,0,0,0,0,0,0,0,0.5547619047619048,0.8351648351648352,0.24642857142857144,0.1738095238095238
TOM_complex,0,0,0,0,0,0,0,0.002380952380952381,0,0.8214285714285714,0.6365079365079365,0,0.24523809523809526
SAM_complex,0,0,0,0,0,0,0,0,0,0.004761904761904762,0.16666666666666666,0.24523809523809526,0.7904761904761904
